stamp_ns,elapsed_s,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,wz_rad_s
103000000000,3.0000000000,0.6000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103100000000,3.1000000000,0.6200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103200000000,3.2000000000,0.6400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103300000000,3.3000000000,0.6600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103400000000,3.4000000000,0.6800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103500000000,3.5000000000,0.7000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103600000000,3.6000000000,0.7200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103700000000,3.7000000000,0.7400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103800000000,3.8000000000,0.7600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
103900000000,3.9000000000,0.7800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104000000000,4.0000000000,0.8000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104100000000,4.1000000000,0.8200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104200000000,4.2000000000,0.8400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104300000000,4.3000000000,0.8600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104400000000,4.4000000000,0.8800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104500000000,4.5000000000,0.9000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104600000000,4.6000000000,0.9200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104700000000,4.7000000000,0.9400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104800000000,4.8000000000,0.9600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
104900000000,4.9000000000,0.9800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
105000000000,5.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
